58,1,863,249,109,98,0.79,3,1.0
59,1,862,249,110,98,0.79,3,1.0
60,1,856,250,109,98,0.77,3,1.0
61,1,852,251,109,98,0.76,3,1.0
62,1,847,253,109,99,0.79,3,1.0
63,1,840,256,108,99,0.81,3,1.0
64,1,828,260,108,98,0.82,3,1.0
65,1,821,262,108,98,0.85,3,1.0
66,1,810,267,107,97,0.84,3,1.0
67,1,802,270,106,95,0.80,3,1.0
68,1,791,274,104,95,0.78,3,1.0
69,1,783,276,104,97,0.77,3,1.0
70,1,772,280,103,98,0.78,3,1.0
71,1,764,283,103,98,0.83,3,1.0
72,1,753,286,103,100,0.87,3,1.0
73,1,746,289,103,100,0.89,3,1.0
74,1,736,294,100,97,0.79,3,1.0
75,1,729,297,100,96,0.67,3,1.0
76,1,724,300,99,95,0.61,3,1.0
76,2,929,1090,134,136,0.92,1,1.0
76,3,940,1015,106,107,0.88,2,1.0
77,1,721,301,98,94,0.51,3,1.0
77,2,929,1090,135,136,0.92,1,1.0
77,3,940,1015,106,107,0.88,2,1.0
78,1,702,307,98,94,0.35,3,1.0
78,2,924,1090,134,136,0.93,1,1.0
78,3,936,1016,105,105,0.87,2,1.0
79,1,689,310,99,98,0.41,3,1.0
79,2,922,1090,133,136,0.94,1,1.0
79,3,934,1016,104,104,0.87,2,1.0
80,1,670,315,99,100,0.46,3,1.0
80,2,919,1091,131,134,0.93,1,1.0
80,3,931,1017,103,102,0.88,2,1.0
81,1,667,316,99,99,0.46,3,1.0
81,2,913,1092,130,132,0.92,1,1.0
81,3,926,1018,102,100,0.89,2,1.0
82,1,662,318,99,98,0.56,3,1.0
82,2,905,1092,128,132,0.93,1,1.0
82,3,918,1019,101,98,0.88,2,1.0
82,4,648,430,78,69,0.75,3,1.0
83,1,655,320,98,97,0.65,3,1.0
83,2,900,1092,127,132,0.92,1,1.0
83,3,912,1019,101,98,0.88,2,1.0
83,4,648,430,78,69,0.75,3,1.0
84,1,644,323,98,95,0.74,3,1.0
84,2,891,1092,127,131,0.90,1,1.0
84,3,904,1019,100,98,0.89,2,1.0
84,4,642,432,77,67,0.77,3,1.0
85,1,637,325,98,95,0.82,3,1.0
85,2,884,1092,128,132,0.88,1,1.0
85,3,899,1019,99,98,0.88,2,1.0
85,4,640,433,75,66,0.78,3,1.0
86,1,632,327,98,94,0.91,3,1.0
86,2,875,1091,128,132,0.88,1,1.0
86,3,890,1018,100,99,0.88,2,1.0
86,4,635,435,74,65,0.76,3,1.0
87,1,623,329,94,89,0.79,3,1.0
87,2,869,1091,128,132,0.87,1,1.0
87,3,884,1018,100,99,0.88,2,1.0
87,4,628,438,73,63,0.75,3,1.0
88,1,611,333,91,88,0.70,3,1.0
88,2,861,1092,127,131,0.83,1,1.0
88,3,876,1018,100,99,0.89,2,1.0
88,4,617,441,73,62,0.74,3,1.0
88,5,936,1031,130,115,0.95,1,1.0
89,1,603,336,89,87,0.62,3,1.0
89,2,855,1093,126,130,0.81,1,1.0
89,3,871,1019,99,98,0.89,2,1.0
89,4,610,442,72,62,0.71,3,1.0
89,5,936,1031,130,115,0.95,1,1.0
90,1,589,339,90,87,0.62,3,1.0
90,2,847,1093,125,129,0.82,1,1.0
90,3,863,1019,99,98,0.88,2,1.0
90,4,599,445,73,61,0.70,3,1.0
90,5,931,1032,130,114,0.95,1,1.0
90,6,932,1107,142,118,0.78,1,1.0
91,1,585,339,91,90,0.67,3,1.0
91,2,842,1093,124,129,0.83,1,1.0
91,3,858,1019,98,98,0.88,2,1.0
91,4,592,446,73,62,0.72,3,1.0
91,5,928,1032,130,114,0.96,1,1.0
91,6,932,1107,142,118,0.77,1,1.0
92,1,574,342,93,90,0.72,3,1.0
92,2,834,1094,124,128,0.82,2,1.0
92,3,850,1019,97,98,0.87,2,1.0
92,4,581,447,74,63,0.73,3,1.0
92,5,924,1032,130,114,0.95,1,1.0
92,6,927,1107,143,118,0.73,1,1.0
93,1,567,343,92,88,0.74,3,1.0
93,2,828,1093,124,129,0.84,2,1.0
93,3,845,1019,97,99,0.86,2,1.0
93,4,574,448,75,64,0.74,3,1.0
93,5,918,1032,129,114,0.95,1,1.0
93,6,925,1107,142,117,0.70,1,1.0
94,1,556,345,90,86,0.72,3,1.0
94,2,819,1093,124,128,0.87,1,1.0
94,3,837,1019,97,100,0.86,2,1.0
94,4,563,450,75,64,0.79,3,1.0
94,5,909,1032,129,113,0.95,1,1.0
94,6,920,1109,143,116,0.70,1,1.0
95,1,549,347,87,82,0.63,3,1.0
95,2,814,1093,123,128,0.86,1,1.0
95,3,832,1019,97,100,0.86,2,1.0
95,4,556,451,75,64,0.81,3,1.0
95,5,902,1032,130,113,0.95,1,1.0
95,6,915,1110,142,116,0.68,1,1.0
96,1,539,350,85,80,0.56,3,1.0
96,2,806,1093,123,128,0.84,1,1.0
96,3,824,1019,97,100,0.86,2,1.0
96,4,546,453,74,63,0.82,3,1.0
96,5,894,1032,128,113,0.94,1,1.0
96,6,906,1110,141,115,0.67,1,1.0
97,1,532,352,85,81,0.53,3,1.0
97,2,801,1093,122,128,0.84,1,1.0
97,3,819,1019,97,100,0.87,2,1.0
97,4,539,455,73,62,0.83,3,1.0
97,5,888,1033,127,112,0.95,1,1.0
97,6,901,1110,139,114,0.70,1,1.0
98,1,522,354,84,83,0.54,3,1.0
98,2,793,1093,121,127,0.83,1,1.0
98,3,812,1020,97,98,0.87,2,1.0
98,4,529,458,71,59,0.86,3,1.0
98,5,880,1033,126,111,0.95,1,1.0
98,6,893,1111,139,114,0.74,1,1.0
99,1,516,356,85,84,0.60,3,1.0
99,2,788,1093,121,127,0.80,1,1.0
99,3,807,1020,96,98,0.87,2,1.0
99,4,522,459,70,59,0.85,3,1.0
99,5,874,1033,125,110,0.95,1,1.0
99,6,887,1110,141,115,0.77,1,1.0
100,1,505,358,87,85,0.69,3,1.0
100,2,780,1093,121,126,0.81,1,1.0
100,3,799,1021,96,96,0.87,2,1.0
100,4,512,460,69,59,0.85,3,1.0
100,5,865,1032,125,111,0.95,1,1.0
100,6,880,1108,139,116,0.81,1,1.0
101,1,497,358,89,87,0.77,3,1.0
101,2,775,1093,122,126,0.84,1,1.0
101,3,794,1020,96,97,0.88,2,1.0
101,4,505,460,69,60,0.86,3,1.0
101,5,859,1032,125,111,0.95,1,1.0
101,6,874,1107,139,118,0.83,1,1.0
102,1,486,358,89,89,0.82,3,1.0
102,2,766,1092,122,127,0.82,1,1.0
102,3,787,1020,95,97,0.87,2,1.0
102,4,494,461,69,60,0.86,3,1.0
102,5,851,1032,124,111,0.94,1,1.0
102,6,865,1108,140,118,0.82,1,1.0
103,1,478,359,90,89,0.83,3,1.0
103,2,761,1092,122,126,0.82,1,1.0
103,3,782,1020,94,97,0.87,2,1.0
103,4,486,462,71,60,0.85,3,1.0
103,5,845,1032,123,111,0.94,1,1.0
103,6,859,1108,138,118,0.79,1,1.0
104,1,466,359,90,88,0.82,3,1.0
104,2,753,1092,123,126,0.85,1,1.0
104,3,774,1019,94,97,0.85,2,1.0
104,4,475,460,71,63,0.85,3,1.0
104,5,836,1031,123,112,0.92,1,1.0
104,6,851,1106,134,118,0.78,1,1.0
105,1,458,361,89,85,0.78,3,1.0
105,2,747,1091,123,126,0.85,1,1.0
105,3,769,1019,93,97,0.83,2,1.0
105,4,467,458,72,66,0.85,3,1.0
105,5,830,1031,123,112,0.91,1,1.0
105,6,845,1105,134,119,0.76,1,1.0
106,1,448,363,85,80,0.74,3,1.0
106,2,738,1090,123,127,0.84,2,1.0
106,3,762,1019,91,97,0.81,2,1.0
106,4,456,459,72,66,0.84,3,1.0
106,5,822,1031,121,111,0.91,1,1.0
106,6,836,1106,134,118,0.74,1,1.0
107,1,441,364,81,77,0.73,3,1.0
107,2,732,1090,124,126,0.88,2,1.0
107,3,756,1019,91,97,0.79,2,1.0
107,4,449,460,72,65,0.84,3,1.0
